id,question,manual_answer,system_answer,cosine_similarity,llm_score,latency_seconds
13,Cấp độ 'Document Level' trong Memory Tree chứa thông tin gì?,"Node gốc đại diện cho toàn bộ tài liệu, chứa tóm tắt tổng quan (summary) và liên kết đến tất cả các chunk con.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.333,7.0,2.1
14,Các loại 'intent' nào được dùng để phân loại Section trong Memory Tree?,"Gồm 5 loại: Definition (định nghĩa), Procedure (quy trình), Argument (lập luận), Comparison (so sánh), và Reference (tham khảo).",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.1193,7.0,5.66
15,Hệ thống thực hiện phân loại câu hỏi (Query Classification) để làm gì?,"Để xác định loại thông tin người dùng cần (ví dụ: overview, detail, how-to...) từ đó chọn chiến lược tìm kiếm và routing phù hợp nhất.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.5082,7.0,2.11
16,Mô hình xử lý hai pha (Two-Phase Processing) hoạt động ra sao?,"Pha 1 (Critical Path): Xử lý nhanh để tạo index và video, cho phép truy vấn cơ bản ngay lập tức. Pha 2 (Background): Xây dựng Memory Tree và cấu trúc sâu, nâng cao khả năng truy vấn sau đó.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3888,7.0,5.74
17,Lợi ích của việc xử lý bất đồng bộ trong hệ thống là gì?,"Giúp không chặn giao diện người dùng (non-blocking UI), cải thiện trải nghiệm bằng cách cho phép sử dụng các tính năng cơ bản trong khi các tác vụ nặng chạy ngầm.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3495,6.0,2.07
18,Source Registry dùng để làm gì?,"Theo dõi trạng thái xử lý (processing, ready, error), tiến trình và metadata của từng tài liệu đã tải lên để quản lý và hiển thị cho người dùng.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3893,7.0,2.11
19,Quy trình xóa tài liệu 'Clean Delete' đảm bảo điều gì?,"Đảm bảo xóa sạch toàn bộ dữ liệu liên quan (file gốc, video, chunk index, memory tree) theo đúng thứ tự để không để lại dữ liệu rác (orphaned data).",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.5514,3.0,2.09
20,Hệ thống hỗ trợ những định dạng tài liệu đầu vào nào?,"PDF, DOCX, TXT và hình ảnh (thông qua OCR).",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2564,6.0,5.4
21,Tại sao cần 'Semantic Chunking' thay vì cắt đoạn cố định?,"Để giữ nguyên vẹn ý nghĩa của thông tin. Cắt cố định có thể làm gãy câu hoặc tách rời các ý liên quan, làm giảm độ chính xác khi tìm kiếm.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4703,7.0,2.09
22,Chỉ mục vector (Vector Index) được xây dựng như thế nào?,"Các vector embedding của chunk được lưu vào cấu trúc dữ liệu tối ưu cho tìm kiếm tương đồng (như FAISS), liên kết với metadata tương ứng.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4786,7.0,2.08
23,Làm thế nào để tái tạo tri thức từ Video QR Code?,"Hệ thống quét/giải mã các frame trong video, ghép nối các sub-chunk dựa trên metadata, và khôi phục lại toàn bộ nội dung văn bản cũng như cấu trúc ban đầu.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4479,6.0,2.09
24,Bộ phận nào chịu trách nhiệm sinh câu trả lời cuối cùng cho người dùng?,Một mô hình ngôn ngữ lớn (LLM) sẽ nhận context (ngữ cảnh) đã được lọc và sinh câu trả lời tự nhiên.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3728,7.0,5.47
25,Hai tầng truy vấn (Chunk-level và Memory-level) khác nhau thế nào?,Chunk-level tìm kiếm trực tiếp vào các đoạn văn chi tiết. Memory-level tìm kiếm dựa trên cấu trúc cây (tóm tắt chương/phần) để hiểu ngữ cảnh rộng hơn.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.321,2.0,2.1
26,Hệ thống fallback như thế nào khi truy vấn Memory Tree không có kết quả?,Nó tự động chuyển sang tìm kiếm chunk-level để đảm bảo vẫn trả về thông tin liên quan nhất có thể.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3434,7.0,2.08
27,Vai trò của 'Narrative Glue' trong xây dựng context là gì?,"Là đoạn văn nối logic giúp kết hợp mượt mà giữa tóm tắt (summary) và các trích đoạn bằng chứng (evidence), giúp LLM hiểu rõ luồng thông tin.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.376,7.0,2.09
28,Kích thước chuẩn của frame hình ảnh QR Code là bao nhiêu?,768x768 pixels.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.0936,8.0,2.1
29,Công nghệ nào được dùng để nhận dạng ký tự quang học (OCR)?,Hệ thống sử dụng công nghệ OCR hỗ trợ cả tiếng Việt và tiếng Anh để xử lý văn bản từ hình ảnh.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2803,6.0,5.47
30,Cấu trúc dữ liệu nào được dùng để tối ưu tìm kiếm tương tự?,Sử dụng vector index (như FAISS) để tìm kiếm các vector có độ tương đồng cao nhất.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.339,8.5,5.42
31,Hạn chế hiện tại của Memory Tree là gì?,"Hiện tại mới chỉ tập trung vào hai cấp độ chính là document và section, chưa phát triển đầy đủ cấp độ concept (khái niệm) chi tiết.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.1689,7.0,2.09
32,Hệ thống có thể ứng dụng trong lĩnh vực giáo dục như thế nào?,"Hỗ trợ sinh viên ôn tập nhanh, giúp giảng viên tổ chức tài liệu giảng dạy và tạo sơ đồ tư duy tự động.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.1103,6.0,2.08
33,Tính năng 'Sinh Mind Map' hoạt động dựa trên nguyên lý nào?,"Phân tích nội dung, xác định chủ đề chính và dùng LLM để tạo cấu trúc cây trực quan cho người dùng.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2259,5.0,5.52
34,Cơ chế 'Rebuild Index' hoạt động khi nào?,Được kích hoạt tự động sau khi có hành động xóa hoặc cập nhật dữ liệu để đảm bảo tính nhất quán của chỉ mục.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2535,7.0,5.48
35,Trạng thái 'index_ready' cho phép người dùng làm gì?,"Cho phép bắt đầu truy vấn ở mức đoạn văn (chunk-level) và xem video QR Code, ngay cả khi Memory Tree chưa xây dựng xong.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2318,7.0,2.08
36,Hệ thống sử dụng gì để tóm tắt nội dung các node trong Memory Tree?,Sử dụng Mô hình Ngôn ngữ Lớn (LLM) để tóm tắt cô đọng.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2107,8.0,2.09
37,Error correction level trong QR Code đóng vai trò gì?,"Giúp đảm bảo khả năng đọc lại dữ liệu ngay cả khi hình ảnh QR Code bị mờ, xước hoặc hư hỏng nhẹ.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.5137,6.0,5.26
38,Hệ thống giải quyết bài toán 'đọc hiểu tài liệu dài' như thế nào?,"Bằng cách tự động tóm tắt, phân rã thành cấu trúc cây dễ theo dõi, và cho phép hỏi đáp trực tiếp thay vì phải đọc tuyến tính.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3556,6.0,2.1
39,Query type 'Compare' sẽ kích hoạt chiến lược gì?,Hệ thống sẽ tìm kiếm các node hoặc chunk chứa thông tin về các đối tượng cần so sánh và hướng dẫn LLM trả lời theo cấu trúc đối chiếu.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3911,6.0,2.1
40,Vấn đề 'Data Orphan' là gì và hệ thống tránh nó ra sao?,Là dữ liệu rác còn sót lại sau khi xóa. Hệ thống tránh bằng quy trình xóa tuần tự nghiêm ngặt (file -> video -> index -> tree).,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3133,6.0,2.1
41,Tại sao video QR Code lại được coi là giải pháp lưu trữ 'offline'?,"Vì nó là file MP4 thông thường, có thể lưu trên ổ cứng, USB, điện thoại và xem/giải mã mà không cần internet hay server backend.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4478,6.0,2.11
42,Semantic Chunking dựa vào yếu tố nào để ngắt đoạn?,Dựa vào sự thay đổi đột ngột hoặc giảm sút độ tương đồng ngữ nghĩa giữa các câu liên tiếp.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2335,6.0,5.37
43,Chức năng của 'Background Processing' là gì?,Thực hiện các tác vụ tốn thời gian (như xây dựng Memory Tree) trong nền để không làm đơ giao diện người dùng.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2861,7.0,2.07
44,Hướng phát triển tương lai về 'Đa phương tiện' của hệ thống là gì?,"Cải thiện khả năng hiểu và xử lý các thành phần phi văn bản như biểu đồ, hình ảnh phức tạp và công thức toán học.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.363,6.0,2.08
45,Đóng góp chính thứ 2 của nghiên cứu là gì?,Tự động sinh sơ đồ tư duy (Memory Tree) phản ánh mối quan hệ logic của tài liệu.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3248,4.0,2.07
46,Hệ thống đánh giá câu trả lời của chính nó dựa trên yếu tố nào trong thực nghiệm?,Dựa trên độ chính xác ngữ nghĩa (so với ground truth) và độ tự nhiên/mạch lạc của câu trả lời.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3021,6.0,5.22
47,Tại sao file PDF lại khó xử lý hơn file TXT?,"Vì PDF có cấu trúc layout phức tạp, có thể chứa cột, ảnh, bảng biểu xen kẽ, đòi hỏi thuật toán trích xuất thông minh hơn để giữ đúng thứ tự đọc.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.5218,6.0,2.08
48,Batch processing được áp dụng ở đâu để tối ưu hiệu năng?,"Được áp dụng trong quá trình tạo Embedding và Rebuild Index để xử lý nhiều dữ liệu cùng lúc, giảm thời gian tính toán.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4255,7.0,2.1
49,Metadata trong video QR Code có tác dụng gì khi chia sẻ file?,Giúp người nhận file video có thể tái cấu trúc lại tài liệu gốc một cách chính xác mà không cần file văn bản kèm theo.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4396,6.0,5.23
50,Ý nghĩa của việc hỗ trợ đa ngôn ngữ (Việt/Anh) trong hệ thống?,"Giúp mở rộng phạm vi ứng dụng cho cả tài liệu trong nước và quốc tế, phục vụ tốt hơn nhu cầu nghiên cứu và học tập đa dạng.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.2713,6.0,5.34
